fig,design_range_nm,spec_energy_whkg,source,metric,value,ref,ref_value,ref_halfwidth,err,rel_err,tol,within_tol
5,600.0,800.0,truth,fuel_mileage_lb_per_nmi,0.39726407389489077,paper,0.451739,0.044826,-0.054474926105109234,-0.12058938038360477,0.064826,True
5,625.0,250.0,truth,fuel_mileage_lb_per_nmi,1.608677353498881,paper,1.551472,0.044826,0.057205353498881006,0.03687166349046648,0.07585544,True
5,625.0,300.0,truth,fuel_mileage_lb_per_nmi,1.5902406036805687,paper,1.551472,0.044826,0.03876860368056878,0.02498827157729484,0.07585544,True
5,625.0,350.0,truth,fuel_mileage_lb_per_nmi,1.56584003800227,paper,1.551472,0.044826,0.014368038002269934,0.009260907062628223,0.07585544,True
5,625.0,400.0,truth,fuel_mileage_lb_per_nmi,1.546985542137828,paper,1.551472,0.044826,-0.004486457862171944,-0.002891742720572427,0.07585544,True
5,625.0,450.0,truth,fuel_mileage_lb_per_nmi,1.5326768702201525,paper,1.551472,0.044826,-0.01879512977984743,-0.012114385422261845,0.07585544,True
5,625.0,500.0,truth,fuel_mileage_lb_per_nmi,1.4045965279586134,paper,1.449867,0.044826,-0.04527047204138657,-0.0312238791843573,0.07382334,True
5,625.0,550.0,truth,fuel_mileage_lb_per_nmi,1.2871876088197431,paper,1.348261,0.044826,-0.061073391180256786,-0.045297899427675196,0.07179121999999999,True
5,625.0,600.0,truth,fuel_mileage_lb_per_nmi,1.1591115728568475,paper,1.151026,0.044826,0.008085572856847412,0.007024665695516357,0.06784652,True
5,625.0,650.0,truth,fuel_mileage_lb_per_nmi,1.0198022750894797,paper,1.04942,0.044826,-0.029617724910520282,-0.028222946875912678,0.0658144,True
5,625.0,700.0,truth,fuel_mileage_lb_per_nmi,0.8731342242999426,paper,0.947814,0.044826,-0.07467977570005746,-0.07879159381488082,0.064826,False
5,625.0,750.0,truth,fuel_mileage_lb_per_nmi,0.7127278656154724,paper,0.75058,0.044826,-0.037852134384527614,-0.05043051291604841,0.064826,True
5,625.0,800.0,truth,fuel_mileage_lb_per_nmi,0.5360562900409602,paper,0.648974,0.044826,-0.11291770995903982,-0.17399419693090912,0.064826,False
